home,home_team_id
Aston Villa,8602292d
Wolves,8cec06e1
Manchester City,b8fd03ef
Newcastle Utd,b2b47a98
Brentford,cd051869
Crystal Palace,47c64c55
Nott'ham Forest,e4a775cb
Burnley,943e8050
Everton,d3fd31cc
Brighton,d07537b9
Chelsea,cff3d9bb
West Ham,7c21e445
Liverpool,822bd0ba
Leeds United,5bfb9659
Sunderland,8ef52968
Tottenham,361ca564
Arsenal,18bb7c10
Manchester Utd,19538871
Fulham,fd962109
Bournemouth,4ba7cbea
Sheffield Utd,1df6b87e
Luton Town,e297cd13
Ipswich Town,b74092de
Leicester City,a2d435b3
Southampton,33c895d4
